Pantheon,Pronunciation,url,Good/Evil Rating,Celebration or Feast Day,Area of expertise,Associated with,In charge of,Birth and Death Dates,Popularity index,Name means,Name,Alternative names,Area or people,Type,Role,Related Gods,Gender 
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/CAILITIN/,Unknown at present,Unknown at present,,,,,1628,,Cailitín,['Calatin'],,God,Unknown at present,set(),Male
Sámi pantheon,Coming soon,https://www.godchecker.com/sami-mythology/JUKSAKKA/,Unknown at present,Unknown at present,Midwifery,,Midwifery,,3178,,Juksakka,"['Juks-Akka', 'Júksáhkká']",Sámi (aka Saami) people of Sápmi (formerly known as Lapland),Goddess,unspecified,{'Maderakka'},Female
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/NEAERA/,"NEUTRAL, may not care",Unknown at present,,,,,2393,,Neaera,['Neaira'],,Goddess,Unknown at present,"{'Oceanids', 'Tethys', 'Helios', 'Nymphs', 'Phaethusa', 'Oceanus', 'Lampetia'}",Female
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/MAHES/,Unknown at present,Unknown at present,Sun,,the Sun,,2049,,Mahes,"['Maahes', 'Mihos']",,God,🌞,set(),Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/CU-ROI/,Unknown at present,Unknown at present,,,,,1692,,Cú Roí,"['Cú Roí Mac Dáire', 'Cú Ruí']",,God,Unknown at present,set(),Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/OBAMBOU/,"BAD, best avoided",Unknown at present,,,,,3504,,Obambou,"['Obambo', 'Oconcou', 'Okamboo']",Nkâmi (Camma) tribe of West Africa,Demon,Unknown at present,set(),Male and female
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/ASCLEPIUS/,Unknown at present,Unknown at present,Healing,,Healing,,4870,,Asclepius,"['Aesculapius', 'Asklepios', 'Paeon', 'Paieon', 'Paion']",,God,unspecified,"{'Chiron', 'Hygeia', 'Epione', 'Panacea', 'Zeus', 'Hades', 'Hippolytus'}",Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/ADITI/,"GOOD, quite approachable",Unknown at present,Mother,,Motherhood,,2719,,Aditi,['unspecified'],,Goddess,unspecified,"{'Âdityas', 'Agni', 'Devas'}",Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/FENRIR/,Unknown at present,Unknown at present,Destruction,,Destruction,,9624,,Fenrir,"['Fenric', 'Fenris', 'Fenrisulfr']",,Demon,unspecified,"{'Vidar', 'Tyr', 'Odin', 'Loki', 'Helheim', 'Asgard', 'Jormungand', 'Hel', 'Ragnarok'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-CLOTILDE/,Unknown at present,Unknown at present,,,,???-545,755,,Clotilde,"['Clothilde', 'Clotilda']",,Saint,Unknown at present,set(),Female
Japanese pantheon,Coming soon,https://www.godchecker.com/japanese-mythology/SAMEBITO/,"NEUTRAL, may not care",Unknown at present,,,,,2136,,Samebito,['unspecified'],,fabulous creature,Unknown at present,set(),Male
Mesopotamian pantheon,Coming soon,https://www.godchecker.com/mesopotamian-mythology/LAHMU/,Unknown at present,Unknown at present,Hero,,Heroics,,1703,,Lahmu,['Lakhmu'],,God,unspecified,{'Lahamu'},Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/RUDRANI/,"NOT OKAY, be careful",Unknown at present,Anger,,Anger,,1949,,Rudrânî,['unspecified'],,Goddess,unspecified,"{'Rudranis', 'Rudra'}",Female
Thai pantheon,Coming soon,https://www.godchecker.com/thai-mythology/PHRA-WITSAWAKAM/,"NEUTRAL, may not care",Unknown at present,Creation,,Creating,,1741,,Phra Witsawakam,"['Phra Vishnukam', 'Phra Witsanukam', 'พระวิษณุกรรม']",Thailand,God,unspecified,"{'Vishnu', 'Ramakien', 'Viśvakarman', 'Hanuman (2)', 'Kama'}",Male
Native American pantheon,Coming soon,https://www.godchecker.com/native-american-mythology/TIRAWA/,Unknown at present,Unknown at present,Creation,,Creating,,1942,,Tirawa,['Tirawa-Atius'],Pawnee,God,unspecified,"{'Coyote', 'Shakuru', 'Pah'}",Male
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/ZAC-CIMI/,"NEUTRAL, may not care",Unknown at present,,,,,2682,,Zac Cimi,"['Ix', 'Saccimi']",,God,Unknown at present,{'Bacabs'},Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-ANYSIA/,Unknown at present,December 30th,,,,??? -304,1094,,Anysia,['Anysia-Of-Thessalonica'],,Saint,Unknown at present,set(),Female
Inca pantheon,Coming soon,https://www.godchecker.com/inca-mythology/KA-ATA-KILLA/,Unknown at present,Unknown at present,Moon,,the Moon,,3008,,Ka-Ata-Killa,['unspecified'],,Goddess,🌝,"{'Copacati', 'Huanca'}",Female
Hittite pantheon,Coming soon,https://www.godchecker.com/hittite-mythology/ARINNA/,Unknown at present,Unknown at present,Sun,,the Sun,,7088,,Arinna,['Ariniddu'],Hittite,Goddess,🌞,{'Teshub'},Female
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/HERO-TWINS/,Unknown at present,Unknown at present,Hero,,Heroics,,3156,,Hero Twins,['unspecified'],,Gods,unspecified,"{'Hun Hunahpu', 'Hunahpu', 'Zipacna', 'Xbalanque', 'Vucub Caquix', 'Monkey Twins', 'Camazotz', 'Xibalba', 'Cabrakan'}",Male
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/APEDEMAK/,Unknown at present,Unknown at present,War,,War,,3008,,Apedemak,['Apademak'],,God,unspecified,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/MINOTAUR/,Unknown at present,Unknown at present,,,,,1810,,Minotaur,['unspecified'],,fabulous creature,Unknown at present,"{'Cretan Bull', 'Theseus'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-KATHARINE-DREXEL/,Unknown at present,Unknown at present,,,,1858-1955,600,,Katharine Drexel,['unspecified'],,Saint,Unknown at present,set(),Female
Japanese pantheon,Coming soon,https://www.godchecker.com/japanese-mythology/AKUMA/,"BAD, best avoided",Unknown at present,,,,,14340,Devil,Akuma,['unspecified'],,Demon,Unknown at present,{'Raijin'},Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/BURI/,"NEUTRAL, may not care",Unknown at present,Creation,,Creating,,4697,,Buri,['Búri'],,God,unspecified,"{'Odin', 'Niflheim', 'Auðumla', 'Bor'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/PHEME/,Unknown at present,Unknown at present,Gossip,,Gossip,,3334,,Pheme,"['Phema', 'Phemes']",,Goddess,unspecified,"{'Ossa', 'Gaia', 'Fama'}",Female
Inca pantheon,Coming soon,https://www.godchecker.com/inca-mythology/EKEKO/,Unknown at present,Unknown at present,Wealth,,Wealth,,2727,,Ekeko,"['Ekako', 'Ekhekho', 'Ekkekko', 'Eq’eq’o']",Bolivia,God,unspecified,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-SAINT-LEO-I/,Unknown at present,Unknown at present,,,,???-461,693,,Leo I,['Leo The Great'],,Saint,Unknown at present,set(),Male
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/PALLAS-4/,Unknown at present,Unknown at present,,,,,1395,,Pallas (4),['unspecified'],,legendary mortal,Unknown at present,"{'Pallas', 'Pallas (3)', 'Pallas (2)', 'Pallas (5)'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-ILLTYD/,Unknown at present,Unknown at present,,,,???-???,660,,Illtyd,"['Hildutus', 'Illtud', 'Illtud Farchog']",,Saint,Unknown at present,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/PEGASUS/,Unknown at present,Unknown at present,,,,,2242,,Pegasus,['Pegasos'],,fabulous creature,Unknown at present,"{'Medusa', 'Perseus', 'Zeus', 'Bellerophon', 'Muses'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-CATHERINE-LABOURE/,Unknown at present,Unknown at present,,,,1806-1876,728,,Catherine Laboure,['unspecified'],,Saint,Unknown at present,"{'Jesus', 'Mary'}",Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/VAFTHRUDNIR/,Unknown at present,Unknown at present,,,,,3262,,Vafthrudnir,"['Vafthruthnir', 'Vafþrúðnir']",,fabulous creature,Unknown at present,{'Odin'},Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/CASSANDRA/,Unknown at present,Unknown at present,,,,,4768,,Cassandra,['Alexandra'],,legendary mortal,Unknown at present,{'Apollo'},Female
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/SET/,Unknown at present,Unknown at present,Chaos,,Chaos,,13278,,Set,"['Setekh', 'Setesh', 'Seth', 'Seti', 'Sutekh']",,God,unspecified,"{'Horus', 'Min', 'Ra', 'Osiris'}",Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/CELTCHAIR/,Unknown at present,Unknown at present,,,,,1303,,Celtchair,['Celtchar'],,God,Unknown at present,set(),Male
Mesopotamian pantheon,Coming soon,https://www.godchecker.com/mesopotamian-mythology/NINURTA/,Unknown at present,Unknown at present,"Agriculture, Farming",,Agriculture and Farming,,3133,,Ninurta,['unspecified'],Akkadia,God,unspecified,"{'Enlil', 'Anzû', 'Ninĝirsu', 'Ninhursaga', 'Tablet of Destinies', 'Enki'}",Male
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/ROBIGO/,"NEUTRAL, may not care",Unknown at present,"Agriculture, Farming",,Agriculture and Farming,,1961,,Robigo,"['Robiga', 'Rubigo']",,Goddess,unspecified,{'Robigus'},Female
Finnish pantheon,Coming soon,https://www.godchecker.com/finnish-mythology/NYYRIKKI/,Unknown at present,Unknown at present,Hunting,,Hunting,,3751,,Nyyrikki,['unspecified'],,God,unspecified,"{'Mielikki', 'Tapio'}",Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/BOANN/,"NOT OKAY, be careful",Unknown at present,Water,,Water,,3436,,Bóann,"['Bóand', 'Bóinn']",,Goddess,unspecified,"{'Salmon of Knowledge', 'Aengus', 'Dagda'}",Female
Australian Aboriginal pantheon,Coming soon,https://www.godchecker.com/australian-aboriginal-mythology/BOBBI-BOBBI/,"NEUTRAL, may not care",Unknown at present,Hunting,,Hunting,,2483,,Bobbi-Bobbi,['unspecified'],Binbinga tribe of Northern Territory,God,unspecified,set(),Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/CANO/,Unknown at present,Unknown at present,,,,,1674,,Cano,['Cano Mac Gartnáin'],,God,Unknown at present,set(),Male
Inuit pantheon,Coming soon,https://www.godchecker.com/inuit-mythology/NEGAFOOK/,Unknown at present,Unknown at present,Snow,,Snow,,3440,,Negafook,['unspecified'],Inuit,God,❄️,set(),Male
Native American pantheon,Coming soon,https://www.godchecker.com/native-american-mythology/PIPINOUKHE/,"NEUTRAL, may not care",Unknown at present,Winter,,Winter,,1484,,Pipinoukhe,"['Pipin', 'Pipoun', 'Pipounoukhe']",Innu/Montagnais,God,unspecified,{'Nipinoukhe'},Male
Chinese pantheon,Coming soon,https://www.godchecker.com/chinese-mythology/EIGHT-GENTLEMEN/,"NEUTRAL, may not care",Unknown at present,Knowledge,,Knowledge,,2380,,Eight Gentlemen,"['Bagong', 'Eight Immortals Of Huainan', 'Huai-Nan Pa-Hsüan', 'Huai-Nan-Tzu', 'Huainan Baxian', 'Huainanzi', 'Pa-Gong']",,legendary men,unspecified,"{'Eight Immortals', 'Liu An'}",Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/ZLOTA-BABA/,Unknown at present,Unknown at present,Wealth,,Wealth,,2751,,Zlota Baba,"['Baba Slata', 'Slata-Baba', 'Slatababa', 'Złota Baba']",,Goddess,unspecified,{'Juno'},Female
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/PRITHVI/,"GOOD, quite approachable",Unknown at present,Earth,,the Earth,,1962,,Prithvi,"['Mata Prithvi', 'Prithvi Mata', 'Prthivi']",,Goddess,unspecified,"{'Dyavaprthivi', 'Dyaus'}",Female
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/ASHWATTHAMA/,"OKAY, not bad",Unknown at present,,,,,1556,,Ashwatthama,"['Ashvathaman', 'Ashwathama']",,legendary mortal,Unknown at present,"{'Shiva', 'Pandavas'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-SAINT-FELIX-I/,Unknown at present,Unknown at present,,,,199-274,680,,Felix I,['unspecified'],,Saint,Unknown at present,set(),Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/KAUSALYA/,"OKAY, not bad",Unknown at present,,,,,1039,,Kausalyâ,['unspecified'],,legendary mortal,Unknown at present,"{'Vishnu', 'Soma', 'Rama'}",Female
Polynesian pantheon,Coming soon,https://www.godchecker.com/polynesian-mythology/TE-TUNA/,Unknown at present,Unknown at present,Fish,,Fish,,3413,The Eel,Te Tuna,['Tuna'],Tahitian people of Tahiti in Polynesia,God,🐟,"{'Te Tunaroa', 'Maui', 'Hina'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/AMYMONE/,Unknown at present,Unknown at present,,,,,1962,,Amymone,['unspecified'],,legendary mortal,Unknown at present,{'Poseidon'},Female
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/CONNLA/,Unknown at present,Unknown at present,,,,,1282,,Connla,['Conlaoch'],,God,Unknown at present,set(),Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/NARASIMHA/,"GOOD, quite approachable",Unknown at present,Hero,,Heroics,,1697,,Narasimha,"['Narasingh', 'Narasinha']",,God,unspecified,"{'Vishnu', 'Avatar', 'Hiranyakashipu'}",Male
Maori pantheon,Coming soon,https://www.godchecker.com/maori-mythology/HINE-TE-NGARU-MOANA/,Unknown at present,Unknown at present,,,,,1979,,Hine-Te-Ngaru-Moana,['Hina-Te-Ngaru-Moana'],Maori people of Polynesia,Goddess,Unknown at present,{'Hine'},Female
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/DELPHYNE/,Unknown at present,Unknown at present,,,,,2465,,Delphyne,['Delphine'],,Demoness,Unknown at present,set(),Female
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/ANGIRAS/,"GOOD, quite approachable",Unknown at present,Wisdom,"Alioth (Epsilon Ursae Majoris, ε UMa)",Wisdom,,2084,,Angiras,['Angirasa'],,God,unspecified,"{'Prajâpatis', 'Brahma'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-SAINT-LEO-IV/,Unknown at present,Unknown at present,,,,777-855,672,,Leo IV,['unspecified'],,Saint,Unknown at present,set(),Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/LE-EYO/,"NOT OKAY, be careful",Unknown at present,Death,,Death,,2419,,Le-eyo,['unspecified'],Maasai people of East Africa,God,unspecified,set(),Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/YANTRA/,"NEUTRAL, may not care",Unknown at present,,,,,1169,,Yantra,['unspecified'],,concept,Unknown at present,set(),"Sorry, we don't know"
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/KARTTIKEYA/,"OKAY, not bad",Unknown at present,War,,War,,2571,,Kârttikeya,"['Kartikeya', 'Kumaran', 'Skanda']",,God,unspecified,"{'Shiva', 'Ganga', 'Parvati', 'Agni'}",Male
Micronesian pantheon,Coming soon,https://www.godchecker.com/micronesian-mythology/RAKIM/,Unknown at present,Unknown at present,Crafts,,Crafts and Making,,1337,,Rakim,['unspecified'],Caroline Islands in Micronesia,God,unspecified,set(),Male
Canaanite pantheon,Coming soon,https://www.godchecker.com/canaanite-mythology/ASHERAH/,Unknown at present,Unknown at present,Mother,,Motherhood,,5340,,Asherah,"['Atherat', 'Athirat', 'Elat']","Canaan, Phoenicia",Goddess,unspecified,"{'Yahweh', 'El'}",Female
Mesopotamian pantheon,Coming soon,https://www.godchecker.com/mesopotamian-mythology/NANSHE/,"NEUTRAL, may not care",Unknown at present,Justice,,Justice,,1851,,Nanshe,['unspecified'],Sumer,Goddess,unspecified,set(),Female
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/ILYA-MUROMETS/,Unknown at present,Unknown at present,,,,,2152,,Ilya Muromets,"['Ilya Of Murom', 'Илья Муромец']",Russia and the Ukraine,legendary mortal,Unknown at present,{'Bogatyri'},Male
Maori pantheon,Coming soon,https://www.godchecker.com/maori-mythology/HUKERE/,"NEUTRAL, may not care",Unknown at present,The Dead,,the Dead,,2756,,Hukere,['Hukere-Nui'],Maori people of Polynesia,God,unspecified,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/PODARGE/,"NEUTRAL, may not care",Unknown at present,,,,,2214,,Podarge,"['Podarke', 'Poderge']",,Demoness,Unknown at present,"{'Aello', 'Xanthus', 'Balius', 'Thaumas', 'Harpies', 'Achilles', 'Zephyrus', 'Electra'}",Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-DONATUS-OF-FIESOLE/,Unknown at present,October 22nd,,,,???-876,699,,Donatus of Fiesole,"['Donat Of Fiesole', 'Donnchad Of Fiesole']",,Saint,Unknown at present,set(),Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/COLLEDA/,"NEUTRAL, may not care",Unknown at present,Yule,,Yule,,2178,,Colleda,['unspecified'],Serbia,Goddess,unspecified,{'Koliada'},Female
Hopi pantheon,Coming soon,https://www.godchecker.com/hopi-mythology/KOSHARE/,Unknown at present,Unknown at present,,,,,2248,,Koshare,"['Kashare', 'Koshari', 'Kushali', 'Kushapatshikan']",Pueblo (Hopi/Keres),legendary event,Unknown at present,"{'Kachinas', 'Koyemshi'}","Sorry, we don't know"
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/NYX/,"NEUTRAL, may not care",Unknown at present,Night,,the Night,,10295,,Nyx,"['Nix', 'Nox']",,Goddess,unspecified,"{'Fates', 'Thanatos', 'Penia', 'Atropos', 'Clotho', 'Aegle', 'Erebus', 'Chaos', 'Erytheia', 'Hespera', 'Aether', 'Hemera', 'Hypnos', 'Hesperides', 'Moros', 'Ossa', 'Lachesis'}",Female
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/LAMIA/,"NEUTRAL, may not care",Unknown at present,Evil,,Evil,,2209,,Lamia,['unspecified'],,Goddess,unspecified,"{'Zeus', 'Hera', 'Scylla', 'Poseidon'}",Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/HLOKK/,"NEUTRAL, may not care",Unknown at present,"Psychopomp, Ferryman, Death",,Escorting Souls,,2459,,Hlökk,['Hlokk'],,Spirit,unspecified,{'Valkyries'},Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/HRUNGNIR/,Unknown at present,Unknown at present,,,,,1948,,Hrungnir,['unspecified'],,fabulous creature,Unknown at present,"{'Mökkurkálfi', 'Sleipnir', 'Thor', 'Odin', 'Valhalla', 'Groa', 'Thialfi'}",Male
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/IBIS/,Unknown at present,Unknown at present,,,,,2052,,Ibis,['unspecified'],,fabulous creature,Unknown at present,set(),Male
Aztec pantheon,Coming soon,https://www.godchecker.com/aztec-mythology/CENTZON-TOTOCHTIN/,"GOOD, quite approachable",Unknown at present,Drunkenness,,Inebriation,,7598,,Centzon Totochtin,['Drunken-Rabbits'],,God,unspecified,"{'Patecatl', 'Pulque', 'Mayahuel'}",Male
Brittonic pantheon,Coming soon,https://www.godchecker.com/brittonic-mythology/MM/,"NEUTRAL, may not care",Unknown at present,"Tutelary, Patronage",,Patronage,,2350,,Mm,['unspecified'],The Picts of Scotland,Deity,unspecified,{'Aywell'},"Sorry, we don't know"
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/JEHOVAH/,"NEUTRAL, may not care",Unknown at present,"Supreme, Everything",,Everything,,9033,,Jehovah,"['George', 'Holy-Trinity', 'Kurios', 'Theos', 'Trinity', 'Yehovah']",Worldwide Christian,God,unspecified,"{'YHWH', 'Jesus', 'Moses', 'Yahweh', 'Holy Spirit', 'Paul', 'Crom Cruaich', 'Pan', 'Sheela na Gig', 'Adam', 'God', 'Eostre'}",Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/MILESIUS/,"NEUTRAL, may not care",Unknown at present,,,,,1609,,Milesius,"['Míl Espáine', 'Míl Espáne']",,legendary mortal,Unknown at present,{'Tuatha Dé Danann'},Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/HECATE/,"NEUTRAL, may not care",Unknown at present,Crossroads,,Crossroads,,6950,,Hecate,['Hekate'],,Goddess,unspecified,"{'Artemis', 'Trivia', 'Selene', 'Heket', 'Perses', 'Asteria', 'Persephone'}",Female
Melanesian pantheon,Coming soon,https://www.godchecker.com/melanesian-mythology/DUDUGERA/,"NEUTRAL, may not care",Unknown at present,Sun,,the Sun,,1680,,Dudugera,['unspecified'],Papua New Guinea,God,🌞,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/ZEPHYRUS/,"NEUTRAL, may not care",Unknown at present,West Wind,,the West Wind,,3998,,Zephyrus,"['Zephyros', 'Zephyrs']",,God,unspecified,"{'Eos', 'Celaeno', 'Podarge', 'Aello', 'Aurai', 'Xanthus', 'Iris', 'Astraeus', 'Balius', 'Achilles'}",Male
Micronesian pantheon,Coming soon,https://www.godchecker.com/micronesian-mythology/BUE/,Unknown at present,Unknown at present,Wisdom,,Wisdom,,2012,,Bue,['unspecified'],Kiribati aka Gilbert Islands in Micronesia,God,unspecified,set(),Male
Mesopotamian pantheon,Coming soon,https://www.godchecker.com/mesopotamian-mythology/MUSHDAMMA/,"NEUTRAL, may not care",Unknown at present,"Architecture, Blueprints, Building Plans",,Architecture and Building Plans,,1567,,Mushdamma,"['Mušdama', 'Mushdama']",Sumer,God,unspecified,{'Kulla'},Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-CATHERINE-OF-PALMA/,Unknown at present,April 5th,,,,1533-1574,991,,Catherine of Palma,"['Catalina Thomás', 'Catherine Tomas']",,Saint,Unknown at present,set(),Female
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/XBALANQUE/,Unknown at present,Unknown at present,Hero,,Heroics,,5180,,Xbalanque,"['Balanque', 'God-Ch', 'Ix-Balangue', 'Ix-Balanque', 'Ixbalanque', 'Yax-Balam']",,God,unspecified,"{'Hunahpu', 'Hero Twins'}",Male
South American pantheon,Coming soon,https://www.godchecker.com/south-american-mythology/NYAMI-ABE/,Unknown at present,Unknown at present,Moon,,the Moon,,1186,,Nyami Abe,['unspecified'],Tucano (Tukano) people of the upper Amazon,God,🌝,{'Page Abe'},Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-GERMANUS-OF-GRANDVAL/,Unknown at present,Unknown at present,,,,610-675,671,,Germanus of Grandval,"['Germanus Of Granfel', 'Germanus Of Granfelden']",,Saint,Unknown at present,set(),Male
Inca pantheon,Coming soon,https://www.godchecker.com/inca-mythology/SI/,Unknown at present,Unknown at present,Moon,,the Moon,,2417,,Si,['unspecified'],Moche people,God/dess,🌝,set(),Male and female
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/MUKUNGA-M-BURA/,"BAD, best avoided",Unknown at present,,,,,2300,,Mukunga M'bura,['Mukunga Mbura'],Kikuyu people of Kenya,Demon,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-LEO-X/,Unknown at present,Unknown at present,,,,1475-1521,864,,Pope Leo X,"[""Giovanni Di Lorenzo De' Medici""]",,Saint,Unknown at present,set(),Male
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/LARA/,"NEUTRAL, may not care",Unknown at present,Communication,,Communication,,3537,,Lara,['unspecified'],,Goddess,unspecified,"{'Jupiter', 'Nymphs (2)', 'Lares', 'Mania'}",Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/ASGARD/,Unknown at present,Unknown at present,,,,,7830,,Asgard,"['Aasgard', 'Asgaard', 'Åsgard', 'Asgardr', 'Ásgarðr', 'Æsgard', 'Godheim', 'Goðheimar', 'Goðheimr']",,legendary place,Unknown at present,"{'Gladsheim', 'Nine Worlds', 'Yggdrasil', 'Bifrost', 'Valhalla', 'Norns', 'Thrudheim'}","Sorry, we don't know"
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-MATTHIAS/,Unknown at present,Unknown at present,,,,???-???,693,,Matthias,['unspecified'],,Saint,Unknown at present,"{'Peter', 'Jesus', 'Judas Iscariot'}",Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/DEVIS/,"GOOD, quite approachable",Unknown at present,"Women, Woman, Female, Femininity",,Womanhood,,1793,,Devis,['unspecified'],,Goddesses,unspecified,"{'Devas', 'Kali', 'Sarasvati', 'Parvati', 'Lakshmi', 'Durga', 'Sati'}",Female
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/VOLTURNUS/,"NEUTRAL, may not care",Unknown at present,"River, Rivers, Stream, Streams",,Rivers,,1757,,Volturnus,['unspecified'],,God,unspecified,set(),Male
Thai pantheon,Coming soon,https://www.godchecker.com/thai-mythology/HANUMAN-2/,"NEUTRAL, may not care",Unknown at present,,,,,3522,,Hanuman (2),['หนุมาน'],Thailand,God,Unknown at present,"{'Hanuman', 'Ramakien'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/OMPHALE/,Unknown at present,Unknown at present,,,,,1459,,Omphale,['unspecified'],,legendary mortal,Unknown at present,"{'Heracles', 'Pan'}",Female
Buddhist pantheon,Coming soon,https://www.godchecker.com/buddhist-mythology/MYO-O/,Unknown at present,Unknown at present,,,,,1704,,Myo'o,"[""Myō'ō"", 'Myōō', 'Wisdom Kings']",,Gods,Unknown at present,set(),Male
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/PROSERPINA/,Unknown at present,Unknown at present,Winter,,Winter,,1988,,Proserpina,['unspecified'],,Goddess,unspecified,"{'Pluto', 'Libera', 'Persephone'}",Female
Native American pantheon,Coming soon,https://www.godchecker.com/native-american-mythology/CHAKEKENAPOK/,Unknown at present,Unknown at present,Fruit,,Fruit,,2647,,Chakekenapok,['unspecified'],Algonquin people of the Anishinaabe group,God,unspecified,"{'Chibiabos', 'Wabasso', 'Manabozho', 'Manitou'}",Male
Chinese pantheon,Aow Kwarng,https://www.godchecker.com/chinese-mythology/AO-GUANG/,"NEUTRAL, may not care",Unknown at present,"Sea, Seas, Ocean, Oceans",,the Ocean,,15624,,Ao Guang,['Ao Kuang'],,God,unspecified,"{'Nezha', 'Jade Emperor', 'Long Wang', 'Da Yu', 'Lu Ban', 'Monkey', 'Ao Bing'}",Male
Chinese pantheon,Tee-yen Meeng,https://www.godchecker.com/chinese-mythology/MANDATE-OF-HEAVEN/,Unknown at present,Unknown at present,,,,,2422,,Mandate of Heaven,"[""T'ien-Ming"", 'Tian-Ming', 'Tianming']",,concept,Unknown at present,{'Jade Emperor'},"Sorry, we don't know"
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/CHINNAMASTAKA/,"NEUTRAL, may not care",Unknown at present,Combat,,Warriors and Fighting,,1377,,Chinnamastaka,['unspecified'],,Goddess,unspecified,{'Durga'},Female
